# tracer: function_graph
#
#     TIME        CPU  TASK/PID         DURATION                  FUNCTION CALLS
#      |          |     |    |           |   |                     |   |   |   |
   11.713015 |   2)     dd-127     |   0.392 us    |                                                    } /* _raw_spin_lock */
   11.713015 |   2)     dd-127     |   0.139 us    |                                                    blk_mq_hctx_mark_pending();
   11.713015 |   2)     dd-127     |               |                                                    _raw_spin_unlock() {
   11.713015 |   2)     dd-127     |   0.126 us    |                                                      preempt_count_sub();
   11.713016 |   2)     dd-127     |   0.391 us    |                                                    } /* _raw_spin_unlock */
   11.713016 |   2)     dd-127     |               |                                                    blk_mq_run_hw_queue() {
   11.713016 |   2)     dd-127     |   0.123 us    |                                                      __rcu_read_lock();
   11.713016 |   2)     dd-127     |   0.127 us    |                                                      blk_mq_hctx_has_pending();
   11.713017 |   2)     dd-127     |   0.124 us    |                                                      __rcu_read_unlock();
   11.713017 |   2)     dd-127     |               |                                                      blk_mq_delay_run_hw_queue() {
   11.713017 |   2)     dd-127     |   0.124 us    |                                                        __msecs_to_jiffies();
   11.713017 |   2)     dd-127     |               |                                                        kblockd_mod_delayed_work_on() {
   11.713017 |   2)     dd-127     |               |                                                          mod_delayed_work_on() {
   11.713017 |   2)     dd-127     |               |                                                            try_to_grab_pending() {
   11.713018 |   2)     dd-127     |   0.125 us    |                                                              timer_delete();
   11.713018 |   2)     dd-127     |   0.398 us    |                                                            } /* try_to_grab_pending */
   11.713018 |   2)     dd-127     |   0.123 us    |                                                            clear_pending_if_disabled();
   11.713018 |   2)     dd-127     |               |                                                            __queue_delayed_work() {
   11.713018 |   2)     dd-127     |               |                                                              __queue_work() {
   11.713019 |   2)     dd-127     |   0.124 us    |                                                                __rcu_read_lock();
   11.713019 |   2)     dd-127     |               |                                                                _raw_spin_lock() {
   11.713019 |   2)     dd-127     |   0.126 us    |                                                                  preempt_count_add();
   11.713019 |   2)     dd-127     |   0.392 us    |                                                                } /* _raw_spin_lock */
   11.713019 |   2)     dd-127     |   0.127 us    |                                                                pwq_tryinc_nr_active();
   11.713020 |   2)     dd-127     |   0.134 us    |                                                                kick_pool_pick();
   11.713020 |   2)     dd-127     |               |                                                                _raw_spin_unlock() {
   11.713020 |   2)     dd-127     |   0.126 us    |                                                                  preempt_count_sub();
   11.713020 |   2)     dd-127     |   0.386 us    |                                                                } /* _raw_spin_unlock */
   11.713020 |   2)     dd-127     |               |                                                                wake_up_process() {
   11.713021 |   2)     dd-127     |               |                                                                  try_to_wake_up() {
   11.713021 |   2)     dd-127     |               |                                                                    _raw_spin_lock_irqsave() {
